user_id,show_id,rating
11,2,5
180,4,3
161,5,5
3,6,3
58,11,4
55,12,5
29,18,4
193,18,5
87,20,4
165,22,4
45,24,5
20,26,4
22,26,4
91,30,4
53,31,4
170,32,5
94,36,4
199,37,5
106,41,5
10,42,4
94,43,3
172,46,3
149,57,3
198,57,5
136,58,4
35,59,5
198,61,5
93,61,5
70,62,4
35,64,5
6,73,3
52,88,5
18,88,3
29,90,5
149,92,3
185,98,5
81,115,4
83,116,5
91,119,4
113,119,3
155,120,4
191,124,3
83,127,4
152,131,3
126,146,5
159,155,5
94,155,5
125,162,3
87,166,4
122,167,5
199,167,3
133,169,4
168,175,3
130,177,4
148,178,3
130,179,5
73,180,3
118,181,5
99,181,5
50,187,5
85,188,4
120,188,5
119,188,4
29,190,4
145,193,3
116,206,4
98,214,3
49,220,5
180,224,4
20,225,5
176,229,3
11,234,5
70,235,3
113,237,3
30,241,3
1,242,3
50,243,4
173,243,4
120,244,4
32,246,3
98,246,3
185,249,3
120,251,3
58,263,4
172,263,3
44,264,5
195,267,3
117,268,4
122,268,3
165,276,3
137,280,4
65,288,3
92,289,4
1,294,3
182,297,4
112,301,5
119,315,3
84,322,3
65,322,5
58,322,4
195,324,4
107,325,3
198,327,4
166,327,4
116,333,4
66,333,3
113,359,5
62,364,3
89,368,3
158,369,5
147,370,4
75,371,3
17,376,3
126,388,3
192,392,3
60,393,5
101,397,5
90,398,3
109,398,5
12,400,4
20,401,4
189,401,3
150,422,5
42,426,5
155,437,4
173,442,5
6,443,3
7,444,3
120,449,4
88,450,4
43,452,3
112,458,3
106,458,4
45,459,4
139,460,4
22,466,3
161,473,5
145,478,5
153,481,5
42,487,3
153,492,3
1,493,4
114,494,4
31,496,5
140,515,4
14,524,5
72,532,3
28,533,5
158,539,3
2,540,3
146,540,4
121,540,3
116,540,4
66,542,4
62,544,3
99,545,3
83,552,4
96,554,4
62,557,5
130,559,4
14,561,4
126,563,5
183,564,3
29,566,3
62,568,5
144,582,3
139,591,4
144,595,4
25,597,3
115,598,3
170,619,4
181,628,5
184,632,3
199,632,5
123,635,5
84,637,3
74,640,5
15,640,3
200,640,3
56,643,4
27,655,3
48,657,4
83,657,4
142,660,5
23,662,4
46,666,3
13,667,4
141,667,5
15,669,5
96,670,3
92,670,5
47,671,4
92,674,3
35,679,4
90,687,4
142,693,3
145,694,4
128,698,5
17,700,3
4,701,4
180,701,3
92,707,5
48,710,4
140,721,3
149,739,5
59,745,4
146,750,3
195,750,4
176,758,5
48,763,4
2,764,3
13,764,5
31,771,3
127,772,5
29,775,3
69,775,5
181,777,3
87,779,3
14,790,4
152,794,5
86,799,5
146,801,4
154,801,3
196,806,3
60,811,5
148,820,5
5,821,5
135,822,3
71,827,3
7,828,5
194,831,3
185,831,3
33,832,4
108,834,5
24,835,5
132,836,3
46,842,5
74,844,5
57,848,4
196,849,4
118,849,3
7,850,4
43,851,3
154,856,3
51,856,5
130,856,5
162,872,3
155,876,4
191,876,4
19,880,4
24,881,5
68,883,3
116,884,3
192,887,5
116,887,4
40,898,3
181,906,3
2,909,3
152,910,3
166,914,3
48,914,4
25,915,4
36,920,4
31,925,4
167,928,4
143,934,4
111,936,4
70,937,3
176,953,3
66,962,4
181,966,3
171,968,5
156,973,4
126,977,5
41,985,5
34,988,5
34,990,3
121,994,5
180,1004,5
104,1005,3
68,1006,5
100,1007,4
145,1018,5
159,1028,3
51,1037,3
125,1037,3
172,1040,5
79,1041,5
20,1041,5
139,1041,4
161,1060,4
5,1060,5
177,1061,5
122,1063,3
113,1068,3
137,1073,4
79,1078,5
133,1079,3
143,1080,4
194,1080,4
53,1081,4
55,1083,4
54,1083,3
65,1085,3
145,1087,5
195,1096,5
116,1102,4
53,1109,5
102,1114,5
